itmno,word,imagery,concreteness,meaningfulness,frequency,syl,letters,freerecall,List_Number
662,pianist,6.43,6.55,5.96,2,2,7,0.438,1
755,scorpion,6.27,6.93,6.24,3,3,8,0.313,1
340,foible,2.2,3.07,2.6,1,2,6,0.563,1
614,oats,6.07,6.9,7.16,23,1,4,0.531,1
857,toy,6.17,6.63,6.96,49,1,3,0.594,1
322,fatigue,5.07,4.28,3.88,19,2,7,0.438,1
74,bard,4.9,5.03,4.8,8,1,4,0.656,1
800,spirit,3.43,1.86,5.72,100,2,6,0.25,1
454,incident,2.9,3,4.16,29,3,8,0.156,1
603,nectar,5.33,6.41,6.92,2,2,6,0.344,1
124,butcher,6.27,6.42,6.72,22,2,7,0.25,1
239,determination,3.57,1.66,4.64,19,5,13,0.313,1
882,vaccination,5.97,5.7,6.12,2,4,11,0.219,1
43,appearance,4.07,3.4,5.68,50,3,10,0.156,1
848,tidbit,4.37,5.4,5.79,1,2,6,0.25,1
861,trellis,5.6,6.69,5,2,2,7,0.406,1
300,essence,2.33,1.66,3.28,8,2,7,,1
16,advice,3.13,2.08,5.39,50,2,6,0.313,1
835,teacher,5.77,6.38,6,100,2,7,0.688,1
51,array,3.3,3.6,4.17,20,2,5,0.344,1
449,impact,4.47,3.73,5.71,4,2,6,0.156,1
718,recital,4.97,5.19,5.56,4,3,7,0.313,1
321,fate,2.37,1.46,4,50,1,4,0.375,1
85,bereavement,3.87,2.49,5.75,1,3,11,0.469,1
325,festivity,5.3,4.45,6.4,4,4,9,0.188,1
88,bird,6.67,6.96,7.88,100,1,4,,1
876,unification,2.77,2.51,4.76,1,5,11,0.313,1
862,tribute,3.57,3.12,5.52,22,2,7,0.281,1
345,forethought,2.57,1.83,4.4,1,2,11,0.313,1
350,fowl,5.87,6.58,7.36,20,1,4,0.469,1
358,fun,5.23,2.45,5.5,50,1,3,0.656,1
150,chaos,4.57,2.5,5.88,9,2,5,0.438,1
483,islander,5.43,6.28,5.48,1,3,8,0.375,1
809,steerage,3,4.29,4.65,1,2,8,0.188,1
254,disease,4.87,5.63,7.44,50,2,7,0.531,1
274,dweller,4.37,5.8,5.09,7,2,7,0.344,1
871,twilight,5.93,5.77,6.56,29,2,8,0.25,1
751,sauce,5.8,6.76,5.88,27,1,5,0.406,1
41,antitoxin,3.6,6.03,5.67,3,4,9,0.531,1
311,explanation,2.9,3.25,5.8,31,4,11,0.344,1
348,formation,3.87,3.76,4.92,19,3,9,0.125,1
425,homicide,4.17,3.81,6.24,2,3,8,0.344,1
419,hierarchy,5.13,2.73,4.48,1,3,9,0.438,1
858,traction,4.77,4.14,6.4,1,2,8,0.281,1
817,stub,4.97,6.2,5.24,5,1,4,0.438,1
335,flesh,6.13,6.9,5.84,50,1,5,0.563,1
740,rod,5.97,6.62,6.04,44,1,3,0.469,1
265,doorman,6.4,6.52,6.28,1,2,7,0.781,1
517,leggings,5.87,6.9,6.12,3,2,8,0.469,1
249,discipline,3.57,2.17,6.04,21,3,10,0.188,1
550,malaria,4.83,5.66,6.64,4,4,7,0.406,1
503,king,6.27,6.34,7.5,100,1,4,0.531,1
100,body,6.4,6.58,5.61,100,2,4,0.531,1
179,combustion,5.1,4.98,6.72,9,3,10,0.344,1
153,charter,3.83,5.05,4.89,20,2,7,0.25,1
700,promotion,3.33,3.56,5.56,10,3,9,0.125,1
637,pact,3.5,3.77,5.12,4,1,4,0.531,1
632,oven,6.4,6.96,8.08,29,2,4,0.313,1
511,law,3.73,3.23,6.32,100,1,3,0.719,1
505,knowledge,2.97,1.56,6.36,100,2,9,0.25,1
888,vehicle,6.23,6.45,7.08,13,3,7,0.313,1
725,replacement,2.7,3.73,5.4,1,3,11,0.188,1
427,honour,3.5,1.75,5.08,100,2,6,0.5,1
279,edifice,4.7,6.56,5.16,9,3,7,0.375,1
526,lice,5.57,6.36,6.56,1,1,4,0.344,1
109,boy,6.57,6.93,6.96,100,1,3,0.813,1
262,dollar,6.5,6.62,6.48,100,2,6,0.469,1
772,shoes,6.63,7,7.52,100,1,5,,1
86,betrayal,3.57,1.77,5,1,3,8,0.344,1
186,comrade,5.57,5.65,5.58,26,2,7,0.219,1
660,photograph,6.43,6.56,6.72,6,3,10,0.156,1
134,captive,5.27,5.8,5.39,21,2,7,0.281,1
910,wench,5.3,6.2,5.08,4,1,5,0.563,1
163,circuit,4.97,5.63,6.38,21,2,7,0.219,1
487,jelly,6.4,6.73,6,19,2,5,0.406,1
781,skillet,6.1,6.8,7.43,2,2,7,0.5,1
757,season,4.87,4.58,7.88,100,2,6,0.281,1
532,lip,6.57,6.93,5.32,100,1,3,0.656,1
823,sugar,6.57,6.96,7,100,2,5,0.313,1
187,comradeship,4.4,2.75,5.21,1,3,11,0.406,1
304,exactitude,2.23,1.69,3,1,4,10,0.281,1
590,morgue,6.03,6.48,6.56,2,2,6,0.5,1
25,alimony,4.47,4.87,5.72,1,4,7,0.531,1
606,nightfall,6.17,5.73,6.52,5,2,9,0.438,1
379,gist,1.97,1.77,3.33,1,1,4,0.469,1
589,moral,3.17,1.39,6.44,50,2,5,0.406,1
564,medallion,5.87,6.73,6.32,1,3,9,0.344,1
839,tendency,2.2,1.78,4.08,27,3,8,0.125,1
309,exhaust,5.17,5,6.29,28,2,7,0.344,1
579,misery,4.37,2.28,5.84,26,3,6,0.469,1
583,moment,2.5,2.52,4.38,100,2,6,0.25,1
299,errand,4.27,4.21,6.48,20,2,6,0.25,1
715,rating,2.6,2.66,5.12,1,2,6,0.094,1
271,dummy,5.83,6.34,4.88,2,2,5,0.313,1
275,dynasty,3.63,4.14,6.28,9,3,7,0.313,1
863,tripod,6.23,6.82,5.76,2,2,6,0.344,1
495,jury,6.07,6.17,6.88,26,2,4,0.531,1
165,city,6.43,6.41,7.72,100,2,4,0.531,1
446,ignorance,3.57,1.75,4,22,3,9,0.281,1
776,sickness,5.17,4.94,6.36,25,2,8,0.469,1
192,contents,3.57,4.25,5,21,2,8,0.156,1
544,magazine,6.4,6.8,6.52,50,3,8,0.25,1
572,microscope,6.57,7,5.48,9,3,10,0.375,1
55,athletics,5.7,4.6,6.92,7,3,9,0.438,1
573,mileage,4.53,4.36,6.72,3,2,7,0.344,1
529,lime,5.67,6.69,7.12,27,1,4,0.656,1
240,detonation,4.57,4.45,5.48,1,4,10,0.406,1
102,boredom,3.83,1.94,4.63,1,2,7,0.594,1
479,investigation,3.6,3.32,5.8,23,5,13,0.438,1
372,genius,4.27,2.76,5.5,30,2,6,0.344,1
26,allegory,2.13,2.56,4.48,1,4,8,0.219,1
341,folly,2.93,2.63,4.4,29,2,5,0.313,1
625,opportunity,3.03,2.63,4.08,50,5,11,,1
631,outsider,5.27,5.07,4.56,3,3,8,0.25,1
14,advantage,2.37,2.25,4.48,50,3,9,0.281,1
336,flexibility,4,3.22,5.6,1,4,11,0.281,1
288,emergency,5.03,3.25,6.28,19,4,9,0.219,1
293,engine,6.33,6.76,6.08,50,2,6,0.469,1
760,sensation,3.67,1.99,5.16,20,3,9,0.375,1
469,insolence,3.93,1.93,4.76,3,3,9,0.313,1
397,gymnastics,5.83,5.08,5.52,3,3,10,0.656,1
540,lump,5.63,6.2,5.44,20,1,4,0.313,1
231,deed,3.63,4.19,5.32,50,1,4,0.313,1
362,gadfly,3.77,5.87,3.28,1,2,6,0.563,1
441,hurricane,6.33,6.52,7.04,7,3,9,0.219,1
813,strawberry,6.8,7,6.71,19,3,10,0.594,1
542,machine,6,6.75,5.88,100,2,7,0.313,1
98,blunderbuss,3.47,5.25,3.56,1,3,11,0.594,1
184,competence,2.97,1.86,4.63,2,3,10,0.438,1
908,weapon,5.73,6.38,7.84,42,2,6,0.406,1
481,iron,6.07,6.87,6.12,100,1,4,0.469,1
31,amount,2.73,3.62,5.84,100,2,6,0.438,1
176,coin,6.5,6.9,7.09,50,1,4,0.469,1
531,link,4.8,5.38,5.2,24,1,4,0.25,1
630,outcome,2.4,2.8,4.24,8,2,7,0.313,1
228,decoration,5.37,5.67,5.84,19,4,10,0.25,1
248,disaster,5.1,4.12,6.56,23,3,8,0.313,1
472,instructor,5.7,6.45,6.29,8,3,10,0.563,1
210,crag,4.77,6.42,5.44,8,1,4,0.5,1
710,quantity,3.47,3.32,4.17,50,3,8,0.313,1
607,nonsense,3.07,1.9,4.12,19,2,8,0.125,1
252,discovery,4.13,3.06,5.5,50,4,9,0.219,1
105,bottle,6.57,6.94,7.24,50,2,6,0.406,1
592,moss,6.33,6.87,7.04,22,1,4,0.531,1
30,ambulance,6.67,7,7.52,8,3,9,0.5,1
617,occasion,2.53,3.22,5,50,3,8,0.219,1
316,fact,2.2,3.31,4.29,100,1,4,0.438,1
168,clemency,2.9,1.97,3.94,1,3,8,0.344,1
599,musician,6.13,6.53,6.52,18,3,8,0.469,1
821,subtraction,3.8,3.73,5.52,1,3,11,0.156,1
819,style,3.83,3.18,5.84,50,1,5,0.156,1
216,criterion,1.83,1.93,3,1,4,9,0.25,1
737,robber,5.67,6.25,6.88,27,2,6,0.594,1
436,hound,6.27,6.83,6,23,1,5,0.438,1
808,steamer,6.53,6.94,6.32,28,2,7,0.281,1
883,vacuum,4.77,3.87,5.94,5,2,6,0.313,1
558,master,4.97,5.53,5.28,100,2,6,0.5,1
869,truth,2.73,1.69,4.78,100,1,5,0.438,1
763,series,4.47,3.88,5.36,50,2,6,0.281,1
597,multiplication,4.73,3.84,6,5,5,14,0.438,1
771,shock,4.67,3.97,6.2,50,1,5,0.406,1
107,bouquet,6.77,6.55,5.76,8,2,7,0.5,1
832,table,6.5,7,7.6,100,1,5,0.313,1
175,coffee,6.73,6.89,7.28,50,2,6,0.5,1
559,mastery,2.77,2.2,5.46,4,3,7,0.219,1
911,whale,6.5,6.96,7.24,8,1,5,0.469,1
896,vigilance,3.53,2.6,5.72,5,3,9,0.313,1
873,umbrella,6.6,7,6.76,13,3,8,0.281,1
886,vapour,4.8,5.93,5.76,27,2,6,0.219,1
73,bar,6.4,6.83,6.08,50,1,3,0.656,1
13,admiral,6.2,6.35,6.11,20,3,7,0.5,1
375,gift,5.77,5.95,7.04,50,1,4,0.469,1
232,delirium,4.8,2.79,5,2,4,8,0.313,1
112,bravery,4.4,1.93,6.44,9,3,7,0.313,1
241,development,3.07,2.82,6.04,50,4,11,0.344,1
655,periodical,4.93,6.14,5.52,7,4,10,0.313,1
734,rheumatism,4.5,5.39,6.48,7,4,10,0.375,1
918,wine,6.6,6.96,7.54,50,1,4,0.531,1
378,girl,6.87,6.83,5.12,100,1,4,0.844,1
552,mammal,5.57,6.31,5.8,6,2,6,0.212,1
474,intellect,2.93,1.83,5.56,27,3,9,0.375,1
533,lobster,6.57,6.96,6.84,7,2,7,0.5,1
204,costume,5.8,6.12,6.19,25,2,7,0.375,1
374,ghost,5.37,2.97,6,32,1,5,0.531,1
801,spray,6.17,6.21,6.48,22,1,5,0.188,1
135,car,6.87,7,6.38,100,1,3,0.656,1
627,origin,2.3,3.25,5.32,48,3,6,0.156,1
648,peach,6.6,6.8,6.84,29,1,5,0.594,1
236,demon,4.7,2.56,5.04,8,2,5,0.5,1
225,death,5,2.97,7.12,100,1,5,0.625,1
158,chloride,4.2,6.28,5.75,2,2,8,0.281,1
205,cottage,6.5,6.9,7.76,46,2,7,0.5,1
319,fallacy,2.3,1.89,3.72,2,3,7,0.281,1
17,affection,4.87,2.18,6.36,37,3,9,0.281,1
452,impulse,3.7,2.08,4.96,26,2,7,0.219,1
671,pledge,3.63,2.93,5.92,27,1,6,0.219,1
656,perjury,3.37,2.7,5.92,1,3,7,0.531,1
117,brute,5.17,5.44,6.08,14,1,5,0.438,1
628,originator,3.3,5.43,4.48,1,5,10,0.281,1
561,mathematics,4.5,4.35,6.88,8,4,11,0.469,1
797,speech,4.33,4.87,5.36,100,1,6,0.438,1
609,northwest,4,3.97,5.76,19,2,9,0.406,1
169,clock,6.5,6.94,7.08,50,1,5,0.563,1
426,honeycomb,6.23,6.5,5.78,4,3,9,0.281,1
307,excuse,2.77,3.05,4.04,50,2,6,0.188,1
587,month,4.37,3.2,4.58,100,1,5,0.25,1
874,unbeliever,2.6,4,4.72,1,4,10,0.25,1
422,hint,2.57,3.35,3.72,29,1,4,0.219,1
62,automobile,6.87,7,6.16,50,4,10,0.375,1
360,fur,6.23,6.69,7.36,50,1,3,0.344,1
639,palace,6.5,6.73,7.08,50,2,6,0.281,1
504,kiss,6.8,6.13,6.68,100,1,4,0.563,1
63,avalanche,6.27,6.38,6.72,4,4,9,0.594,1
816,string,6.2,6.9,5.29,50,1,6,0.344,1
864,troops,6.13,6.69,7.54,50,1,6,0.594,1
54,assault,4.8,4.19,5.56,22,2,7,0.062,1
21,agreement,3.33,2.93,4.48,31,3,9,0.25,1
546,maiden,6.1,6.52,5.04,45,2,6,0.344,1
61,author,4.53,6.04,5.24,50,2,6,0.438,1
884,valley,6.57,6.66,6.56,100,2,6,0.375,1
244,diamond,6.67,6.94,7.84,50,2,7,0.625,1
860,tree,6.77,7,6.79,100,1,4,0.531,1
507,lad,6.33,6.58,5.76,50,1,3,0.688,1
414,heaven,4.13,2.75,6.52,100,2,6,0.656,1
149,chance,2.5,1.51,5.61,100,1,6,0.281,1
364,galaxy,6,5.03,6,3,3,6,0.438,1
728,residue,4.87,5.72,4.48,2,3,7,0.406,1
435,hotel,6.4,6.8,5.96,50,2,5,0.438,1
114,breeze,5.87,5.94,7.33,29,1,6,0.406,1
591,mosquito,6.53,6.96,7.84,8,3,8,0.438,1
698,professor,6.17,6.52,5.4,50,3,9,0.625,1
365,gallery,5.97,6.49,5.88,28,3,7,0.344,1
333,flag,6.6,6.94,6.54,50,1,4,0.219,1
369,geese,6.53,6.83,7.48,26,1,5,0.406,1
296,episode,3.37,3.91,5.32,7,3,7,0.188,1
796,speaker,5.67,6.13,5.54,25,2,7,0.313,1
854,tomb,6.37,6.73,6.04,22,1,4,0.406,1
571,metropolis,5.97,5.62,6.28,8,4,10,0.219,1
67,bacteria,5.33,6.38,6.12,8,4,8,0.438,1
113,breast,6.77,6.8,5.81,50,1,6,0.594,1
584,monarch,6.2,6.4,6.92,20,2,7,0.5,1
508,lake,6.67,6.9,9.22,100,1,4,0.75,1
37,animal,6.1,6.75,7,100,3,6,0.625,1
144,cellar,6.27,6.83,6.79,32,2,6,0.406,1
837,tempest,5.63,5.62,6.96,14,2,7,0.219,1
415,henchman,4.67,5.65,3.8,1,2,8,0.406,1
762,serf,5.5,6.03,6.75,4,1,4,0.531,1
93,blessing,4.43,1.75,6.19,29,2,8,0.281,1
394,green,6.6,5.46,6.68,100,1,5,0.75,1
729,restaurant,6.47,6.83,6.88,23,3,10,0.594,1
641,panorama,4.47,4.18,5.72,2,4,8,0.531,1
560,material,5.07,6.1,5.92,100,4,8,0.344,1
647,peacemaker,4.03,4.97,5.08,1,3,10,0.406,1
189,confidence,3.4,1.52,4.17,50,3,10,0.219,1
792,sonata,4.53,5.73,5.56,1,3,6,0.469,1
686,predicament,3.3,2.18,4.64,3,4,11,,1
104,boss,5.73,6.35,5.81,23,1,4,0.563,1
711,queen,6.57,6.38,7.36,100,1,5,0.344,1
818,student,6.27,6.38,5.96,50,2,7,0.688,1
457,inducement,2.93,2.34,3.68,3,3,10,0.406,1
278,economy,3.2,2.28,5.88,21,4,7,0.375,1
600,nail,6.5,6.96,6.08,50,1,4,0.313,1
423,history,3.47,3.03,6.91,100,3,7,0.438,1
747,saloon,6.43,6.7,7.12,12,2,6,0.406,1
47,arbiter,2.33,4.63,3.71,1,3,7,0.156,1
242,devil,5.63,2.13,6.94,50,2,5,0.406,1
489,joke,4.27,3.8,5.92,32,1,4,0.406,1
442,hypothesis,2.4,2.25,5.36,4,4,10,0.406,1
312,expression,3.57,2.48,6.13,50,3,10,0.219,1
416,heredity,3.53,2.98,5.64,3,4,8,0.25,1
280,edition,3.4,4.64,5.88,19,3,7,0.219,1
578,misconception,2.3,1.79,3.96,1,4,13,0.531,1
478,intimate,5,2.03,5.13,24,3,8,0.438,1
649,pelt,5.4,6.2,6.76,6,1,4,0.469,1
171,cooperation,3.4,1.92,4.67,20,5,11,,1
470,instance,2,2.87,4.04,50,2,8,0.188,1
673,poetry,4.9,4.27,6.24,26,2,6,0.25,1
921,woman,6.7,6.63,6.4,100,2,5,0.781,1
745,salad,6.53,6.83,7.2,28,2,5,0.344,1
588,mood,3.67,1.52,5.36,27,1,4,0.281,1
164,citation,3.57,4.42,5.06,1,3,8,0.281,1
377,gingham,5.33,6.17,5.65,5,2,7,0.281,1
417,heroism,4.17,2.26,5.84,5,3,7,0.156,1
418,hide,3.8,5.45,5.63,50,1,4,0.406,1
68,bagpipe,6.43,6.96,7,1,2,7,0.344,1
899,violation,3.57,2.92,5.92,8,4,9,0.156,1
22,air,4.17,5.67,6.36,100,1,3,0.625,1
855,tool,5.77,6.8,6.88,40,1,4,0.5,1
58,attendant,5.03,6.07,4.5,26,3,9,0.438,1
197,copybook,4.6,6.62,3.61,1,3,8,0.219,1
272,dust,6.03,6.67,6.84,50,1,4,0.5,1
789,sobriety,3.5,2.9,4.52,2,4,8,0.563,1
750,satire,3.37,2.33,5.64,7,2,6,0.25,1
284,elbow,6.3,6.94,5.16,26,2,5,0.563,1
616,obsession,3.87,1.65,4.16,2,3,9,0.219,1
913,wheat,6.4,7,7.96,50,1,5,0.469,1
424,home,6.5,6.25,6.88,100,1,4,0.656,1
313,extermination,4.03,3.13,4.96,2,5,13,0.594,1
712,quest,4.53,2.76,5.2,20,1,5,0.219,1
785,slave,6.23,6.38,6.17,50,1,5,0.625,1
222,dawn,6.37,5.83,7.36,50,1,4,0.406,1
344,forest,6.63,6.69,9.12,100,2,6,0.531,1
329,fire,6.7,6.66,7.36,100,1,4,0.313,1
444,idea,2.2,1.42,4.88,100,2,4,0.313,1
829,suppression,2.83,2.35,3.89,4,3,11,0.219,1
677,portal,5.1,6.25,5.63,7,2,6,0.281,1
173,cobblestone,5.87,6.58,6.38,1,3,11,0.406,1
218,custom,3.43,2.99,5.33,50,2,6,0.313,1
255,disparity,2.7,2.07,3.52,1,4,9,0.219,1
726,reptile,6,6.65,6.52,8,2,7,0.469,1
551,malice,3.3,1.73,4.56,10,2,6,0.281,1
194,contract,4.5,5.24,6.32,50,2,8,0.313,1
44,apple,6.73,7,7.67,50,2,5,0.438,1
525,library,6.73,6.87,6.4,50,3,7,0.344,1
76,baron,5.1,5.77,5.72,27,2,5,0.406,1
94,blister,6.53,6.67,7.13,6,2,7,0.594,1
545,magnitude,2.5,3.03,5.68,7,3,9,0.25,1
19,agility,4.57,2.93,5.75,2,4,7,0.281,1
90,blacksmith,6.17,6.83,7.44,19,2,10,0.344,1
215,crisis,3.43,2.81,5.44,19,2,6,0.219,1
670,pleasure,4.8,2.1,5.54,100,2,8,0.375,1
130,candidate,4.67,5.53,5.76,45,3,9,0.375,1
901,vision,4.73,4,6.39,45,2,6,0.344,1
420,hillside,6.3,6.59,6.92,20,2,8,0.656,1
428,hoof,6.37,6.9,6.32,26,1,4,0.469,1
71,banker,6.03,6.38,6.56,27,2,6,0.438,1
838,temple,6.13,6.69,6.75,50,2,6,0.594,1
315,facility,2.73,2.2,4.64,23,3,8,0.281,1
668,plank,6.3,6.96,6.2,19,1,5,0.438,1
343,forehead,6.27,6.93,5.08,41,2,8,0.406,1
40,answer,2.77,4.49,6.04,100,2,6,0.25,1
407,harness,5.1,6.93,6.2,29,2,7,0.344,1
770,ship,6.67,6.93,7.87,100,1,4,0.594,1
851,toast,6.57,6.93,7.84,20,1,5,0.281,1
314,fabric,5.6,6.55,6.48,21,2,6,0.406,1
338,flower,6.57,6.96,7.13,100,2,6,0.438,1
605,newspaper,6.57,6.56,6.12,100,3,9,0.469,1
185,competition,4.53,3.08,5.69,28,4,11,0.344,1
586,monk,6.4,6.63,5.92,20,1,4,0.5,1
65,baby,6.7,6.9,7.04,100,2,4,0.813,1
595,mucus,5.53,6.16,6.38,1,2,5,0.5,1
180,comedy,4.9,3.51,6.08,17,3,6,0.344,1
840,theologian,4.47,5.88,6.36,2,4,10,0.5,1
356,frog,6.73,6.96,6.56,25,1,4,0.688,1
20,agony,5.43,3.13,6.06,24,3,5,0.438,1
859,tragedy,4.7,2.59,5.84,27,3,7,0.156,1
256,disposition,2.93,1.78,4.92,22,4,11,0.156,1
371,gender,2.9,3.63,5.41,1,2,6,0.281,1
567,menace,3.73,3.7,5.04,21,2,6,0.188,1
229,decree,3.3,4.58,5.16,20,2,6,0.344,1
50,army,6.53,6.55,6.88,100,2,4,0.438,1
396,guardhouse,5.8,6.69,5.76,1,2,10,0.594,1
260,doctor,6.4,6.62,7.32,100,2,6,0.656,1
82,belfry,4.43,5.96,6.25,1,2,6,0.406,1
461,infection,4.87,5.08,6.12,8,3,9,0.469,1
767,shadow,5.63,4.94,5.28,50,2,6,0.375,1
659,phantom,5.03,2.5,5,6,2,7,0.25,1
895,victory,4.93,2.95,6.12,50,3,7,0.406,1
759,semester,3.53,3.88,5.48,1,3,8,,1
537,love,5.6,1.8,6.44,100,1,4,0.625,1
115,bronze,6.17,6.59,6.19,19,1,6,0.406,1
867,truck,6.6,7,6.48,23,1,5,0.563,1
111,brassiere,6.77,6.96,4.75,1,3,9,0.688,1
301,evangelist,4.97,5.95,5.28,2,4,10,0.625,1
70,bandit,5.83,6.28,6.92,5,2,6,0.469,1
15,adversity,2.8,2.73,5.06,5,4,9,0.469,1
925,yacht,6.77,6.96,7.2,2,1,5,0.469,1
303,evidence,3.23,3.45,6.2,50,3,8,0.156,1
787,slush,6.27,6.65,6.8,1,1,5,0.469,1
576,mirage,4.97,3.5,5.63,1,2,6,0.25,1
663,piano,6.7,6.85,6.4,26,2,5,0.406,1
644,passageway,5.53,6.28,5.08,4,3,10,0.344,1
615,obedience,3.67,1.58,5.2,15,4,9,0.313,1
253,discretion,2.27,1.34,4.2,9,3,10,0.156,1
672,poet,5.27,6.35,5.36,50,1,4,0.375,1
257,distinction,2.7,2.2,3.8,26,3,11,0.375,1
885,vanity,3.83,1.77,4.92,20,3,6,0.344,1
401,hamlet,5.87,6.19,6.56,15,2,6,0.406,1
703,prosecutor,5,5.87,6.32,2,4,10,0.531,1
646,patent,3.43,4.05,4.96,27,2,6,0.188,1
877,unit,2.87,4.33,4.8,29,1,4,0.375,1
339,foam,6.33,6.73,6.44,21,1,4,0.313,1
735,ritual,4.7,3.7,5.12,4,3,6,0.281,1
361,furniture,6.17,6.83,6.6,50,3,9,0.5,1
743,sadness,4.63,2.47,5.56,11,2,7,0.313,1
689,prestige,3.67,1.73,4.56,7,2,8,0.188,1
181,comforter,5.03,5.06,6.19,5,3,9,0.406,1
466,ink,6.37,6.87,6.96,20,1,3,0.375,1
201,corner,6.13,6.65,5.67,100,2,6,0.375,1
305,examination,6.07,5.14,7,28,5,11,0.344,1
810,stone,6.23,6.96,7.24,100,1,5,0.531,1
367,garments,5.83,6.59,6.2,40,2,8,0.281,1
347,form,4.3,4.08,4.6,100,1,4,0.344,1
562,meadow,6.43,6.69,8,47,2,6,0.375,1
820,substitute,3.13,4.56,4.48,29,3,10,0.125,1
56,atmosphere,4.23,3.76,7.17,38,3,10,0.344,1
880,upkeep,3.07,2.5,4.76,2,2,6,0.281,1
827,sunset,6.83,6.07,6.96,24,2,6,0.5,1
